Date,Item,Sales Rep,Quantity,Price,Commission
01-07-2018,Printer,Laura,10,80,8%
01-07-2018,White Board,Stacey,18,40,6%
01-07-2018,Office Chair,Mark,7,230,8%
01-07-2018,White Board,Stacey,15,40,3%
01-07-2018,Diary,Laura,6,16,1%
01-07-2018,Projector,Stacey,9,150,2%
01-07-2018,Diary,Bob,15,16,1%
01-07-2018,Printer,Bob,22,80,11%
01-07-2018,Projector,Mark,13,150,2%
01-07-2018,White Board,Stacey,18,40,6%
01-07-2018,Office Chair,Mark,7,230,8%
01-07-2018,White Board,Stacey,15,40,3%
01-07-2018,Diary,Laura,6,16,1%
01-07-2018,Projector,Stacey,9,150,2%
01-07-2018,Diary,Bob,15,16,1%
01-07-2018,Printer,Bob,22,80,11%
01-07-2018,Projector,Mark,13,150,2%
02-07-2018,Diary,Laura,12,16,3%
02-07-2018,White Board,Stacey,4,40,5%
02-07-2018,Office Chair,Mark,19,230,11%
02-07-2018,White Board,Mark,4,40,6%
02-07-2018,Diary,Laura,6,16,7%
02-07-2018,Office Chair,Laura,15,230,11%
02-07-2018,Printer,Laura,16,80,4%
02-07-2018,White Board,John,7,40,10%
02-07-2018,White Board,Laura,11,40,5%
02-07-2018,Printer,Bob,9,80,6%
02-07-2018,Printer,Mark,21,80,4%
02-07-2018,White Board,Laura,2,40,3%
02-07-2018,Diary,Laura,12,16,3%
02-07-2018,White Board,Stacey,4,40,5%
02-07-2018,Office Chair,Mark,19,230,11%
02-07-2018,White Board,Mark,4,40,6%
02-07-2018,Diary,Laura,6,16,7%
02-07-2018,Office Chair,Laura,15,230,11%
02-07-2018,Printer,Laura,16,80,4%
02-07-2018,White Board,John,7,40,10%
02-07-2018,White Board,Laura,11,40,5%
02-07-2018,Printer,Bob,9,80,6%
02-07-2018,Printer,Mark,21,80,4%
02-07-2018,White Board,Laura,2,40,3%
03-07-2018,Diary,Laura,17,16,5%
03-07-2018,White Board,John,18,40,6%
03-07-2018,White Board,John,9,40,1%
03-07-2018,White Board,Mark,7,40,1%
03-07-2018,Office Chair,Laura,12,230,6%
03-07-2018,Diary,Mark,22,16,4%
03-07-2018,Diary,Laura,17,16,5%
03-07-2018,White Board,John,18,40,6%
03-07-2018,White Board,John,9,40,1%
03-07-2018,White Board,Mark,7,40,1%
03-07-2018,Office Chair,Laura,12,230,6%
03-07-2018,Diary,Mark,22,16,4%
04-07-2018,Projector,John,5,150,11%
04-07-2018,Printer,Mark,14,80,11%
04-07-2018,Diary,Laura,8,16,3%
04-07-2018,Office Chair,Laura,6,230,5%
04-07-2018,Diary,Stacey,7,16,8%
04-07-2018,Printer,Mark,16,80,4%
04-07-2018,Projector,John,17,150,12%
04-07-2018,Diary,Mark,7,16,8%
04-07-2018,Projector,John,5,150,11%
04-07-2018,Printer,Mark,14,80,11%
04-07-2018,Diary,Laura,8,16,3%
04-07-2018,Office Chair,Laura,6,230,5%
04-07-2018,Diary,Stacey,7,16,8%
04-07-2018,Printer,Mark,16,80,4%
04-07-2018,Projector,John,17,150,12%
04-07-2018,Diary,Mark,7,16,8%
05-07-2018,Diary,John,21,16,9%
05-07-2018,Diary,Laura,23,16,11%
05-07-2018,Projector,Laura,2,150,2%
05-07-2018,Projector,John,22,150,7%
05-07-2018,White Board,Stacey,22,40,1%
05-07-2018,Printer,Mark,10,80,11%
05-07-2018,Printer,Bob,13,80,5%
05-07-2018,Office Chair,Stacey,11,230,12%
05-07-2018,Office Chair,John,9,230,7%
05-07-2018,Office Chair,Stacey,16,230,11%
05-07-2018,Office Chair,Stacey,18,230,1%
05-07-2018,Diary,Mark,15,16,2%
05-07-2018,White Board,Bob,18,40,6%
05-07-2018,White Board,Stacey,18,40,4%
05-07-2018,Diary,Stacey,22,16,3%
05-07-2018,Diary,Laura,12,16,11%
06-07-2018,Printer,John,20,80,1%
06-07-2018,Office Chair,Laura,10,230,2%
06-07-2018,Office Chair,Mark,9,230,3%
06-07-2018,Printer,Mark,17,80,3%
06-07-2018,White Board,Bob,4,40,9%
06-07-2018,Projector,Mark,16,150,3%
06-07-2018,Printer,Laura,8,80,2%
06-07-2018,White Board,Stacey,23,40,6%
07-07-2018,Projector,Stacey,20,150,10%
07-07-2018,Office Chair,Bob,22,230,10%
07-07-2018,Office Chair,Mark,6,230,10%
07-07-2018,Printer,Stacey,10,80,10%
07-07-2018,Office Chair,Bob,21,230,5%
07-07-2018,Office Chair,John,20,230,4%
07-07-2018,Printer,Laura,20,80,7%
07-07-2018,Printer,Laura,7,80,5%
