Date,Item,Sales Rep,Quantity,Price,Commission
01-07-2018,Diary,Stacey,10,16,1%
01-07-2018,Diary,Stacey,14,16,12%
01-07-2018,White Board,Laura,6,40,6%
01-07-2018,White Board,Stacey,13,40,9%
01-07-2018,Diary,Stacey,10,16,4%
01-07-2018,Printer,Mark,14,80,11%
01-07-2018,White Board,Mark,4,40,6%
01-07-2018,White Board,Laura,11,40,5%
01-07-2018,Diary,Laura,14,16,1%
01-07-2018,Projector,John,20,150,4%
01-07-2018,White Board,Stacey,9,40,6%
01-07-2018,Projector,Laura,18,150,6%
01-07-2018,Office Chair,Bob,17,230,11%
02-07-2018,White Board,John,20,40,4%
02-07-2018,White Board,John,23,40,3%
02-07-2018,Office Chair,Bob,21,230,5%
02-07-2018,Printer,Laura,6,80,9%
02-07-2018,Diary,John,20,16,1%
02-07-2018,White Board,Mark,8,40,9%
02-07-2018,Office Chair,Mark,15,230,9%
03-07-2018,Printer,Stacey,21,80,2%
03-07-2018,Printer,Stacey,19,80,2%
03-07-2018,Diary,John,7,16,8%
03-07-2018,White Board,Bob,11,40,5%
03-07-2018,Office Chair,Stacey,8,230,5%
03-07-2018,Printer,John,18,80,2%
03-07-2018,White Board,John,7,40,10%
04-07-2018,Diary,John,16,16,3%
04-07-2018,Printer,John,8,80,8%
04-07-2018,Office Chair,Bob,22,230,10%
04-07-2018,Office Chair,Bob,3,230,10%
04-07-2018,Office Chair,Bob,20,230,11%
04-07-2018,Diary,Laura,12,16,3%
04-07-2018,White Board,Bob,20,40,7%
04-07-2018,Office Chair,John,3,230,6%
04-07-2018,Printer,Stacey,16,80,7%
05-07-2018,White Board,Bob,3,40,3%
05-07-2018,Office Chair,Laura,12,230,3%
05-07-2018,White Board,Stacey,22,40,1%
05-07-2018,White Board,Mark,19,40,10%
05-07-2018,Printer,Mark,21,80,4%
05-07-2018,Printer,Mark,2,80,4%
05-07-2018,Projector,Mark,15,150,2%
06-07-2018,White Board,Mark,14,40,6%
06-07-2018,Printer,Stacey,7,80,7%
06-07-2018,Printer,Laura,7,80,5%
06-07-2018,Projector,Mark,10,150,1%
06-07-2018,Printer,Laura,10,80,8%
06-07-2018,Printer,Stacey,15,80,8%
06-07-2018,Office Chair,Stacey,18,230,1%
06-07-2018,Printer,John,8,80,9%
06-07-2018,Diary,Laura,6,16,1%
06-07-2018,Office Chair,Mark,9,230,3%
07-07-2018,White Board,Stacey,15,40,3%
07-07-2018,White Board,Mark,15,40,4%
07-07-2018,Diary,Bob,11,16,12%
07-07-2018,Diary,John,12,16,11%
07-07-2018,Diary,Stacey,18,16,4%
07-07-2018,White Board,Laura,20,40,1%
07-07-2018,Projector,Bob,7,150,3%
07-07-2018,White Board,Stacey,23,40,6%
07-07-2018,Printer,John,7,80,2%
07-07-2018,Projector,Mark,16,150,5%
07-07-2018,Office Chair,Mark,6,230,10%
08-07-2018,White Board,Bob,7,40,12%
08-07-2018,Printer,Laura,23,80,5%
08-07-2018,Printer,Stacey,16,80,10%
08-07-2018,Printer,John,16,80,3%
08-07-2018,Printer,Bob,22,80,9%
08-07-2018,Diary,John,18,16,5%
08-07-2018,Office Chair,Bob,5,230,12%
08-07-2018,Projector,Bob,7,150,2%
08-07-2018,White Board,Laura,2,40,3%
08-07-2018,White Board,Stacey,11,40,6%
08-07-2018,Printer,Stacey,7,80,2%
09-07-2018,White Board,Laura,4,40,11%
09-07-2018,White Board,Laura,2,40,2%
09-07-2018,Office Chair,Stacey,23,230,6%
09-07-2018,Printer,Bob,21,80,9%
09-07-2018,Printer,Bob,9,80,6%
09-07-2018,Printer,Bob,22,80,11%
10-07-2018,Office Chair,Laura,15,230,11%
10-07-2018,White Board,Mark,7,40,1%
10-07-2018,Projector,Bob,17,150,2%
10-07-2018,Projector,Mark,22,150,2%
10-07-2018,Office Chair,Laura,10,230,2%
10-07-2018,White Board,Bob,21,40,1%
10-07-2018,Office Chair,Laura,5,230,10%
10-07-2018,Office Chair,Bob,13,230,6%
10-07-2018,Projector,John,23,150,10%
10-07-2018,Projector,John,20,150,3%
11-07-2018,Office Chair,John,3,230,11%
11-07-2018,Projector,Mark,16,150,8%
11-07-2018,Diary,Bob,14,16,6%
11-07-2018,Projector,Mark,16,150,3%
11-07-2018,Diary,Bob,19,16,2%
11-07-2018,Printer,Bob,6,80,9%
11-07-2018,Printer,Bob,9,80,7%
11-07-2018,Projector,Mark,20,150,9%
11-07-2018,Printer,Laura,10,80,11%
11-07-2018,Diary,John,4,16,12%
11-07-2018,White Board,Bob,16,40,11%
12-07-2018,Printer,Mark,5,80,4%
12-07-2018,Diary,Laura,11,16,4%
12-07-2018,Projector,John,17,150,12%
12-07-2018,Office Chair,Mark,19,230,11%
12-07-2018,Printer,John,21,80,4%
12-07-2018,Office Chair,Mark,7,230,1%
12-07-2018,White Board,Laura,2,40,3%
12-07-2018,Projector,John,7,150,2%
13-07-2018,Printer,Laura,16,80,4%
13-07-2018,White Board,Mark,4,40,12%
13-07-2018,Diary,John,22,16,1%
13-07-2018,White Board,Stacey,18,40,6%
13-07-2018,Printer,Laura,6,80,1%
